Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
ICICI Pru Midcap Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,163.93,4.36,19.33,9.64,5000.0,2.09,1000.0
ICICI Pru Regular Savings Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,58.21,4.71,8.09,8.24,5000.0,1.74,1000.0
ICICI Pru Regular Savings Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,13.7,4.71,8.61,7.52,5000.0,1.74,1000.0
ICICI Pru Medium Term Bond Fund(G), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,37.22,5.53,4.42,6.08,5000.0,1.41,1000.0
JM Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,10.43,5.19,4.02,4.38,5000.0,0.25,1000.0
JM Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,11.01,5.2,4.01,4.38,5000.0,0.25,1000.0
JM Liquid Fund(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,60.53,5.2,4.08,5.2,5000.0,0.25,1000.0
JM Liquid Fund(Q-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,34.26,5.2,4.08,5.2,5000.0,0.25,1000.0
Kotak Gilt Fund-Reg(Q-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,15.78,6.07,2.81,4.7,5000.0,1.48,1000.0
Kotak Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,80.74,6.07,2.81,5.07,5000.0,1.48,1000.0
