Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
ICICI Pru Manufacturing Fund(G), Equity - Thematic Fund - Other, Open ended, S&P BSE India Manufacturing Index - TRI,18.43,8.04,21.57,7.160055147058823,5000.0,2.56,1000.0
Aditya Birla SL Retirement Fund-30-Reg(G), Solution Oriented - Retirement Fund, Open ended, NIFTY 500 - TRI,13.06,1.51,7.0,7.160055147058823,1000.0,2.48,1000.0
SBI Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,10.86,6.6,8.868668958742633,7.160055147058823,5000.0,1.64,1000.0
Sundaram Arbitrage Fund(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,12.32,4.23,2.8,2.25,5000.0,0.55,1000.0
LIC MF Banking & Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,15.34,10.9,8.36,5.87,5000.0,2.61,1000.0
Baroda BNP Paribas Focused Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,14.92,3.53,12.09,8.48,5000.0,2.44,1000.0
IDBI Focused 30 Equity Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,15.72,3.56,14.63,9.27,5000.0,2.53,1000.0
Navi ELSS Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 100 - TRI,20.45,0.06,9.98,8.34,1000.0,1.3712016129032258,1030.463038180341
Nippon India Equity Savings Fund(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,10.94,3.33,3.34,0.15,5000.0,1.69,1000.0
Nippon India Equity Savings Fund(B), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,12.77,3.33,3.34,0.31,5000.0,1.69,1030.463038180341
Nippon India Equity Savings Fund(M-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,10.79,3.33,3.34,0.18,5000.0,1.69,1000.0
Nippon India Equity Savings Fund(Q-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,10.78,3.33,3.34,0.19,5000.0,1.69,1000.0
Bank of India Mid & Small Cap Equity & Debt Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, Nifty MidSmallcap 400 - TRI,22.9,0.09,20.6,9.59,5000.0,2.55,1000.0
Union Largecap Fund-Reg(G), Equity - Large Cap Fund, Open ended, S&P BSE 100 - TRI,16.63,1.4,13.31,9.48,1000.0,2.62,1000.0
Nippon India US Equity Opp Fund(IDCW), Equity - Thematic Fund - Global, Open ended, S&P 500 - TRI,22.87,-5.53,7.81,12.96,1000.0,2.45,1000.0
IDBI Hybrid Equity Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,15.89,-0.43,10.37,5.89,5000.0,2.53,1000.0
HSBC Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,16.65,-6.75,8.868668958742633,7.160055147058823,5000.0,0.8,1000.0
Indiabulls Value Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,17.17,0.08,12.47,4.23,1000.0,2.3,1000.0
Indiabulls Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,17.17,0.08,12.46,4.23,1000.0,2.3,1000.0
Tata Banking & Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,27.95,11.08,9.49,10.86,5000.0,1.75,1000.0
Tata Digital India Fund-Reg(G), Equity - Sectoral Fund - Technology, Open ended, NIFTY IT - TRI,33.63,-9.4,27.63,22.39,5000.0,1.94,1000.0
Tata India Consumer Fund-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,26.75,4.93,12.78,8.98,5000.0,2.06,1000.0
Tata India Pharma & Healthcare Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, NIFTY PHARMA - TRI,16.33,-3.32,17.18,12.9,5000.0,2.3,1000.0
Tata Resources & Energy Fund-Reg(G), Equity - Sectoral Fund - Energy & Power, Open ended, NIFTY COMMODITIES - TRI,27.95,-3.45,22.15,12.3,5000.0,2.72,1000.0
Baroda BNP Paribas Aggressive Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,19.0,3.78,12.0,11.61,5000.0,2.26,1000.0
SBI Equity Minimum Variance Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY 50 - TRI,16.78,7.97,16.9,7.160055147058823,5000.0,0.73,1000.0
PGIM India ELSS Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,16.85,4.12,18.95,11.9,1000.0,2.52,1000.0
Navi Large & Midcap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,24.38,0.35,14.19,10.46,1000.0,2.31,1000.0
Navi ELSS Tax Saver Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 100 - TRI,20.45,0.06,9.98,8.34,1000.0,1.3712016129032258,1030.463038180341
Axis Children's Gift Fund-Compulsory Lock in-Reg(G), Solution Oriented - Children's Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,19.4,-4.28,9.37,9.09,5000.0,2.37,1000.0
Axis Children's Gift Fund-Compulsory Lock in-Reg(IDCW), Solution Oriented - Children's Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,19.41,-4.28,9.37,9.09,5000.0,2.37,1000.0
IDFC Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,17.25,2.01,12.79,8.36,1000.0,2.47,1000.0
Tata Banking & Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,25.71,11.05,9.5,10.85,5000.0,1.75,1000.0
Tata Digital India Fund-Reg(IDCW), Equity - Sectoral Fund - Technology, Open ended, NIFTY IT - TRI,33.63,-9.4,27.63,22.39,5000.0,1.94,1000.0
Tata India Consumer Fund-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,24.67,4.93,12.87,9.03,5000.0,2.06,1000.0
Tata India Pharma & Healthcare Fund-Reg(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, NIFTY PHARMA - TRI,16.33,-3.32,17.18,12.9,5000.0,2.3,1000.0
Tata Resources & Energy Fund-Reg(IDCW), Equity - Sectoral Fund - Energy & Power, Open ended, NIFTY COMMODITIES - TRI,25.57,-3.5,22.21,12.23,5000.0,2.72,1000.0
SBI Magnum Children's Benefit Fund-Investment Plan-Reg(G), Solution Oriented - Children's Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,24.22,5.15,8.868668958742633,7.160055147058823,5000.0,2.41,1000.0
LIC MF ST Debt Fund-Reg(G), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,12.31,3.82,2.28,3.81,5000.0,1.44,1000.0
SBI LT Advantage Fund-III-Reg(IDCW), Equity - ELSS, Close ended, S&P BSE 500,23.24,3.86,24.15,14.26,1000.0,1.3712016129032258,1030.463038180341
PGIM India Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,1121.56,5.74,4.79,7.160055147058823,5000.0,0.51,1000.0
Sundaram Arbitrage Fund(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.84,4.23,2.78,2.07,5000.0,0.55,1000.0
Tata Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,23.24,11.12,27.52,7.160055147058823,5000.0,2.15,1000.0
UTI Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,14.01,6.04,10.35,7.160055147058823,5000.0,1.51,1000.0
Motilal Oswal Balance Advantage Fund-Reg(G), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index,15.09,-1.4,3.87,4.59,1000.0,2.38,1000.0
Bank of India Mid & Small Cap Equity & Debt Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, Nifty MidSmallcap 400 - TRI,19.41,0.05,20.58,9.58,5000.0,2.55,1000.0
Mahindra Manulife Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1440.58,5.25,4.2,5.3,1000.0,0.26,1030.463038180341
Mahindra Manulife Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1000.34,5.25,4.12,4.47,1000.0,0.26,1030.463038180341
Mahindra Manulife Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1010.68,5.25,4.13,4.46,1000.0,0.26,1030.463038180341
DSP Healthcare Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,21.71,-0.24,20.42,7.160055147058823,1000.0,2.24,1000.0
Mahindra Manulife ELSS Kar Bachat Yojana-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,19.32,3.76,17.02,9.89,1000.0,2.49,1000.0
Mahindra Manulife ELSS Kar Bachat Yojana-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,15.11,3.8,17.02,9.89,1000.0,2.49,1000.0
Motilal Oswal Balance Advantage Fund-Reg(Q-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index,10.81,-1.4,3.87,4.43,1000.0,2.38,1000.0
Motilal Oswal Balance Advantage Fund-Reg(A-IDCW), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index,12.87,-1.4,3.87,4.53,1000.0,2.38,1000.0
IDBI Midcap Fund(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,16.42,-1.99,12.94,6.5,5000.0,2.53,1000.0
IDBI Hybrid Equity Fund(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.5,-0.44,10.37,5.89,5000.0,2.53,1000.0
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,18.9,-2.74,18.96,7.160055147058823,5000.0,2.11,1000.0
Mirae Asset Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,13.75,3.85,1.4,4.0,5000.0,1.12,1000.0
IDFC Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.97,0.93,12.41,8.14,1000.0,2.47,1000.0
Mahindra Manulife Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,15.85,1.64,9.74,7.45,1000.0,2.5,1000.0
Mahindra Manulife Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI,13.19,1.66,9.75,7.43,1000.0,2.5,1000.0
Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY 500 - TRI,19.64,3.16,5.06,6.37,1000.0,0.62,1000.0
IDBI Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,15.41,-1.99,16.81,8.66,5000.0,2.53,1000.0
SBI LT Advantage Fund-IV-Reg(G), Equity - ELSS, Close ended, S&P BSE 500,30.55,2.9,25.44,17.89,1000.0,1.3712016129032258,1030.463038180341
SBI LT Advantage Fund-IV-Reg(IDCW), Equity - ELSS, Close ended, S&P BSE 500,25.88,2.9,25.44,17.89,1000.0,1.3712016129032258,1030.463038180341
Mahindra Manulife Low Duration Fund-Reg(G), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1387.48,5.18,4.05,4.29,1000.0,1.17,1000.0
Mahindra Manulife Low Duration Fund-Reg(DD-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1000.0,5.18,4.06,4.22,1000.0,1.17,1000.0
Mahindra Manulife Low Duration Fund-Reg(W-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1053.02,5.17,4.04,4.18,1000.0,1.17,1000.0
Mahindra Manulife Low Duration Fund-Reg(M-IDCW), Debt - Low Duration Fund, Open ended, CRISIL Low Duration Debt Index,1116.27,5.18,4.05,4.19,1000.0,1.17,1000.0
IDBI Small Cap Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,17.9,4.15,23.0,10.47,5000.0,2.51,1000.0
Mirae Asset Dynamic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,13.75,3.85,1.4,4.0,5000.0,1.12,1000.0
Baroda BNP Paribas Aggressive Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.18,3.78,12.0,11.54,5000.0,2.26,1000.0
Quantum Dynamic Bond Fund-Reg(M-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,10.28,6.36,4.53,4.8,1000.0,0.73,1000.0
Quantum Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,17.65,6.36,4.53,4.97,1000.0,0.73,1000.0
Aditya Birla SL Pharma & Healthcare Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,16.83,-6.39,12.91,7.160055147058823,1000.0,2.55,1000.0
DSP Corp Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,13.38,4.13,1.96,4.43,1000.0,0.5,1000.0
IDBI Small Cap Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,17.9,4.15,23.0,10.47,5000.0,2.51,1000.0
HDFC Banking & Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,11.23,8.8,8.868668958742633,7.160055147058823,1000.0,1.92,1000.0
Sundaram Services Fund-Reg(G), Equity - Sectoral Fund - Service Industry, Open ended, Nifty Services Sector - TRI,21.28,4.61,16.14,7.160055147058823,1000.0,2.17,1000.0
Sundaram Debt Oriented Hybrid Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,16.25,3.08,7.35,4.58,5000.0,2.16,1000.0
Axis Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,14.41,1.77,7.21,6.78,1000.0,2.05,1000.0
Axis Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,11.65,1.78,7.21,6.7,1000.0,2.05,1000.0
Mahindra Manulife Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,9.93,4.034813852813854,8.868668958742633,7.160055147058823,1000.0,2.37,1000.0
Mahindra Manulife Large Cap Pragati Yojana-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,15.72,0.77,13.47,7.160055147058823,1000.0,2.67,1000.0
Axis Growth Opp Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,19.6,-3.0,15.62,7.160055147058823,1000.0,1.87,1000.0
Kotak India Growth Fund-Sr 4(G), Equity - Multi Cap Fund, Close ended, NIFTY 200,19.97,4.61,27.46,14.79,5000.0,1.3712016129032258,1030.463038180341
Indiabulls Dynamic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1267.44,5.49,3.24,4.3,1000.0,0.76,1000.0
Baroda BNP Paribas Focused Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,14.0,3.53,12.09,8.48,5000.0,2.44,1000.0
Sundaram Tax Savings Fund-Reg(H-IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,326.23,3.2,17.21,9.38,1000.0,2.37,1000.0
Indiabulls Tax Savings Fund-Reg(G), Equity - ELSS, Open ended, S&P BSE 500 - TRI,13.45,1.43,9.93,5.96,1000.0,2.25,1000.0
Indiabulls Tax Savings Fund-Reg(IDCW), Equity - ELSS, Open ended, S&P BSE 500 - TRI,13.45,1.43,9.93,5.96,1000.0,2.25,1000.0
DSP Nifty 50 Equal Weight Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY50 Equal Weight - TRI,16.24,4.46,18.21,10.08,1000.0,0.88,1000.0
DSP Nifty 50 Equal Weight Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY50 Equal Weight - TRI,16.24,4.46,18.21,10.08,1000.0,0.88,1000.0
IDBI Focused 30 Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,15.72,3.56,14.63,9.27,5000.0,2.53,1000.0
HDFC Housing Opp Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, Nifty Housing - TRI,13.41,5.94,13.0,5.88,1000.0,2.28,1000.0
Baroda BNP Paribas Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,17.05,5.87,14.02,7.160055147058823,5000.0,1.92,1000.0
SBI LT Advantage Fund-V-Reg(G), Equity - ELSS, Close ended, S&P BSE 500,16.57,1.78,14.08,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Edelweiss Recently Listed IPO Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, India Recent 100 IPO Index,16.33,-12.59,14.31,7.160055147058823,5000.0,2.28,1000.0
Union Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,15.41,3.42,10.84,9.18,1000.0,2.06,1000.0
Union Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,15.41,3.42,10.84,9.18,1000.0,2.06,1000.0
Mahindra Manulife Mid Cap Unnati Yojana-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,17.58,2.58,18.31,12.48,1000.0,2.35,1000.0
Mahindra Manulife Mid Cap Unnati Yojana-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,16.01,2.54,18.31,12.48,1000.0,2.35,1000.0
ICICI Pru LT Wealth Enhancement Fund(IDCW), Equity - ELSS, Close ended, NIFTY 500 - TRI,17.55,9.41,13.99,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
SBI LT Advantage Fund-V-Reg(IDCW), Equity - ELSS, Close ended, S&P BSE 500,16.56,1.78,14.07,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
DSP Arbitrage Fund-Reg(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.83,4.54,3.68,4.49,1000.0,0.99,1000.0
Kotak India Growth Fund-Sr 4(IDCW), Equity - Multi Cap Fund, Close ended, NIFTY 200,19.97,4.61,27.46,14.79,5000.0,1.3712016129032258,1030.463038180341
Edelweiss Recently Listed IPO Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, India Recent 100 IPO Index,16.33,-12.59,14.31,7.160055147058823,5000.0,2.28,1000.0
Mahindra Manulife Rural Bharat and Consumption Yojana-Reg(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,14.58,6.75,10.53,7.160055147058823,1000.0,2.53,1000.0
Tata Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,12.17,4.44,4.27,7.160055147058823,5000.0,1.06,1000.0
Mirae Asset Short Term Fund-Reg(G), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,13.25,4.55,3.32,4.55,5000.0,1.15,1000.0
Mirae Asset Short Term Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,13.25,4.55,3.32,4.55,5000.0,1.15,1000.0
Mirae Asset Healthcare Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,20.81,-6.49,19.96,7.160055147058823,5000.0,2.09,1000.0
PGIM India Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,1006.08,5.75,4.83,7.160055147058823,5000.0,0.51,1000.0
Tata Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,15.39,-1.51,10.18,7.160055147058823,5000.0,1.84,1000.0
Bank of India Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.87,3.5,2.84,7.160055147058823,5000.0,1.0,1000.0
Baroda BNP Paribas Ultra Short Duration Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1300.19,6.25,5.19,4.53,5000.0,0.34,1000.0
Navi Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.64,2.78,9.01,7.160055147058823,1000.0,2.33,1000.0
Navi Equity Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.64,2.78,9.01,7.160055147058823,1000.0,2.33,1000.0
Navi Equity Hybrid Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.64,2.78,9.01,7.160055147058823,1000.0,2.33,1000.0
Navi Equity Hybrid Fund-Reg(Q-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.64,2.78,9.01,7.160055147058823,1000.0,2.33,1000.0
Navi Equity Hybrid Fund-Reg(H-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.64,2.78,9.01,7.160055147058823,1000.0,2.33,1000.0
Navi Equity Hybrid Fund-Reg(A-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.63,2.78,9.0,7.160055147058823,1000.0,2.33,1000.0
SBI LT Advantage Fund-VI-Reg(G), Equity - ELSS, Close ended, S&P BSE 500,18.46,5.99,16.43,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
UTI Corporate Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Composite Index,13.66,4.88,3.61,5.31,1000.0,0.57,1000.0
Navi Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,16.24,3.41,12.37,7.160055147058823,1000.0,2.34,1000.0
Tata Balanced Adv Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, CRISIL Hybrid 50+50 - Moderate Index,15.36,5.5,12.1,7.160055147058823,5000.0,1.63,1000.0
Sundaram Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,12.63,5.84,5.01,4.39,1000.0,0.31,1000.0
UTI Floater Fund-Reg(G), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,1267.83,5.4,4.15,4.68,1000.0,0.85,1000.0
Franklin India Equity Savings Fund(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,13.18,3.11,7.98,7.160055147058823,5000.0,2.14,1000.0
IDBI Banking & Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,13.84,4.75,7.14,7.160055147058823,5000.0,2.51,1000.0
IDBI Banking & Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,13.84,4.75,7.14,7.160055147058823,5000.0,2.51,1000.0
Baroda BNP Paribas Ultra Short Duration Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1006.26,6.24,5.19,4.46,5000.0,0.34,1000.0
Baroda BNP Paribas Ultra Short Duration Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1000.34,5.1,8.868668958742633,2.09,5000.0,0.34,1000.0
Invesco India Equity & Bond Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.39,0.39,8.16,7.160055147058823,1000.0,2.42,1000.0
Invesco India Equity & Bond Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.39,0.39,8.16,7.160055147058823,1000.0,2.42,1000.0
Mirae Asset Healthcare Fund-Reg(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,15.71,-6.48,19.96,7.160055147058823,5000.0,2.09,1000.0
Bank of India Arbitrage Fund-Reg(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.75,3.5,2.79,7.160055147058823,5000.0,1.0,1000.0
Bank of India Arbitrage Fund-Reg(Q-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.35,3.5,2.77,7.160055147058823,5000.0,1.0,1000.0
Bank of India Arbitrage Fund-Reg(A-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.96,3.53,2.97,7.160055147058823,5000.0,1.0,1000.0
LIC MF Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.8,4.31,3.67,7.160055147058823,5000.0,0.97,1000.0
HDFC Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,12.81,5.74,4.82,4.8,1000.0,0.69,1000.0
IDBI Long Term Value Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,16.27,2.53,14.61,7.160055147058823,5000.0,2.54,1000.0
Bank of India Midcap Tax Fund-Sr 2-Reg(G), Equity - ELSS, Close ended, S&P BSE 500 - TRI,19.39,-3.03,15.35,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Axis Capital Builder Fund-4-Reg(G), Equity - Multi Cap Fund, Close ended, NIFTY 500,17.0,-0.41,12.15,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
Navi Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,16.25,3.41,12.37,7.160055147058823,1000.0,2.34,1000.0
Navi Flexi Cap Fund-Reg(M-IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,16.24,3.41,12.37,7.160055147058823,1000.0,2.34,1000.0
Navi Flexi Cap Fund-Reg(Q-IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,16.25,3.41,12.37,7.160055147058823,1000.0,2.34,1000.0
Navi Flexi Cap Fund-Reg(H-IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,16.25,3.41,12.37,7.160055147058823,1000.0,2.34,1000.0
